stratum_id,population_units,sampled_units,inclusion_probability,law_number,chamber,alignment,gender
stratum_04342f89e7ce9230,10,2,0.2,21735,Cámara,No aplica,mujer
stratum_0aad8e3358710917,28,3,0.10714285714285714,21419,Cámara,izquierda,mujer
stratum_0b487d9e1e14371f,87,8,0.09195402298850575,21419,Cámara,izquierda,hombre
stratum_0d27ec00f4653afb,53,5,0.09433962264150944,21735,Cámara,centro,hombre
stratum_0e6ac7b5e56a5933,11,2,0.18181818181818182,21419,Cámara,No aplica,mujer
stratum_15ceeb8cad6fdab3,24,3,0.125,21419,Senado,nonpartisan,hombre
stratum_15f186e76117a395,37,4,0.10810810810810811,21538,Cámara,No aplica,hombre
stratum_1c6f67825a0ba909,7,2,0.2857142857142857,21419,Senado,derecha,mujer
stratum_1e1cab6e3a6a1370,59,6,0.1016949152542373,21419,Senado,centro,mujer
stratum_26acce82319da7a6,81,8,0.09876543209876543,21735,Cámara,No aplica,Sin dato
stratum_2868eaa648d9caa3,32,4,0.125,21419,Cámara,nonpartisan,hombre
stratum_2961731d6114c571,187,17,0.09090909090909091,21735,Cámara,izquierda,mujer
stratum_2979f02352ddaadf,17,2,0.11764705882352941,21538,Cámara,derecha,mujer
stratum_300fe118c71c015d,90,9,0.1,21419,Senado,derecha,hombre
stratum_3318b8d067821ec3,53,5,0.09433962264150944,21735,Senado,No aplica,Sin dato
stratum_3e8a94f3201eed39,5,1,0.2,21419,Senado,nonpartisan,mujer
stratum_4ab4677a098d3d61,13,2,0.15384615384615385,21538,Cámara,centro,hombre
stratum_4dff9c401d4a16e9,8,2,0.25,21538,Senado,No aplica,hombre
stratum_4e719f5cdcea0b86,10,2,0.2,21538,Cámara,centro,mujer
stratum_5099c6d2fa5e3899,9,2,0.2222222222222222,21735,Senado,nonpartisan,hombre
stratum_518b1e055bb5f64d,21,3,0.14285714285714285,21419,Senado,izquierda,mujer
stratum_52cc62b94870f4fd,95,9,0.09473684210526316,21735,Cámara,nonpartisan,mujer
stratum_55170f32a63ceb00,12,2,0.16666666666666666,21538,Cámara,No aplica,Sin dato
stratum_5ed9b7a0568fa3cc,10,2,0.2,21419,Senado,centro,hombre
stratum_66aa0d485513b69e,63,6,0.09523809523809523,21735,Senado,derecha,mujer
stratum_6dad8e6da746c889,17,2,0.11764705882352941,21538,Cámara,nonpartisan,hombre
stratum_7167a1549dea0882,5,1,0.2,21538,Senado,nonpartisan,hombre
stratum_860482c397cc966d,112,10,0.08928571428571429,21735,Senado,No aplica,hombre
stratum_8c14e7f45f5a3bd6,34,4,0.11764705882352941,21538,Cámara,izquierda,hombre
stratum_8cab4047a03fd740,18,2,0.1111111111111111,21419,Senado,No aplica,Sin dato
stratum_8e7a036caceb4dc1,31,4,0.12903225806451613,21735,Senado,centro,hombre
stratum_8ea7191b143fa728,8,2,0.25,21419,Cámara,derecha,mujer
stratum_9187f44319416e82,2,1,0.5,21538,Senado,No aplica,mujer
stratum_96639ad0d876e13c,127,12,0.09448818897637795,21419,Senado,izquierda,hombre
stratum_9e1575575ee32aec,69,7,0.10144927536231885,21735,Cámara,derecha,mujer
stratum_9e99d2445c6d7b63,32,4,0.125,21735,Senado,centro,mujer
stratum_a870d61ffbc37ef7,16,2,0.125,21538,Senado,izquierda,mujer
stratum_ad13a24dc7a0624f,220,20,0.09090909090909091,21735,Cámara,izquierda,hombre
stratum_ae48edb525a7adfa,14,2,0.14285714285714285,21735,Senado,nonpartisan,mujer
stratum_b0b7d32a6a0ceaa1,59,6,0.1016949152542373,21538,Senado,derecha,hombre
stratum_b1886b38676893f0,270,24,0.08888888888888889,21735,Senado,derecha,hombre
stratum_b405e9a44835fd5f,62,6,0.0967741935483871,21735,Senado,izquierda,mujer
stratum_b6641f27db46b242,281,25,0.08896797153024912,21735,Cámara,derecha,hombre
stratum_bd6ec2fad83ed063,12,2,0.16666666666666666,21735,Cámara,centro,mujer
stratum_c07caa1da440d235,20,3,0.15,21419,Senado,No aplica,mujer
stratum_c7994d69658c0b28,25,3,0.12,21538,Cámara,izquierda,mujer
stratum_cf077d6ef045ffce,226,20,0.08849557522123894,21735,Cámara,nonpartisan,hombre
stratum_cf0f7af234581e13,5,1,0.2,21538,Senado,centro,mujer
stratum_d08521593c6a4ef7,24,3,0.125,21419,Cámara,centro,hombre
stratum_d435636ad6f7e8e6,73,7,0.0958904109589041,21419,Senado,No aplica,hombre
stratum_d889d364326fd804,53,5,0.09433962264150944,21538,Cámara,derecha,hombre
stratum_dac22fc56938e097,12,2,0.16666666666666666,21538,Senado,No aplica,Sin dato
stratum_e1f3601c5a47e234,101,10,0.09900990099009901,21419,Cámara,No aplica,hombre
stratum_efa9987787759cdb,89,8,0.0898876404494382,21419,Cámara,derecha,hombre
stratum_f1369e6e6e3f6e44,10,2,0.2,21419,Cámara,No aplica,Sin dato
stratum_f5befb15244f28db,417,36,0.08633093525179857,21735,Cámara,No aplica,hombre
stratum_f9e9854960ce22ad,142,13,0.09154929577464789,21735,Senado,izquierda,hombre
stratum_fe9bb0bae32d7b09,1,1,1.0,21538,Cámara,nonpartisan,mujer
